;ACADÉMIE;SECTION BI- ET INTERNATIONALE;1ère SESSION A VENIR;Niveau;U.A.I.;ÉTABLISSEMENT;COMMUNE;;
65;Amiens;ABIBAC (allemand);;Lycée;0801841S;Lycée Robert de Luzarches;Amiens;;
66;Amiens;ABIBAC (allemand);;Lycée;0600001A;Lycée Félix-Faure;Beauvais;;
67;Amiens;ABIBAC (allemand);2019;Lycée;0020012C;Lycée Jean de La Fontaine;Château-Thierry;;
68;Amiens;ABIBAC (allemand);2020;Lycée;0020048S;Lycée Henri Martin;Saint-Quentin;;
69;Besançon;ABIBAC (allemand);;Lycée;0900002N;Lycée Condorcet;Belfort;;
70;Besançon;ABIBAC (allemand);;Lycée;0251711Z;Lycée Claude Nicolas Ledoux;Besançon;;
71;Bordeaux;ABIBAC (allemand);;Lycée;0640055M;Lycée Louis Barthou;Pau;;
72;Bordeaux;ABIBAC (allemand);;Lycée;0332722E;Lycée Pape Clément;Pessac;;
73;Caen;ABIBAC (allemand);;Lycée;0141796B;Lycée Salvador Allende;Hérouville Saint-Clair;;
74;Clermont-Ferrand;ABIBAC (allemand);;Lycée;0630019D;Lycée Jeanne d'Arc;Clermont-Ferrand;;
75;Créteil;ABIBAC (allemand);;Lycée;0772127U;Lycée Galilée;Combs-la-Ville;;
76;Créteil;ABIBAC (allemand);;Lycée;0930830X;Lycée Albert Schweitzer;Le Raincy;;
77;Dijon;ABIBAC (allemand);;Lycée;0211928G;Lycée européen Charles de Gaulle;Dijon;;
78;Grenoble;ABIBAC (allemand);;Lycée;0383242T;Cité scolaire internationale Europole;Grenoble;;
79;Grenoble;ABIBAC (allemand);2017;Lycée;0381603L;Lycée André Argouges;Grenoble;;
80;La Réunion;ABIBAC (allemand);;Lycée;9740001H;Lycée Leconte de Lisle;Sainte-Clotilde;;
81;La Réunion;ABIBAC (allemand);;Lycée;9740002J;Lycée Roland-Garros;Le Tampon;;
82;Lille;ABIBAC (allemand);;Lycée;0590073J;Lycée Auguste Angellier;Dunkerque;;
83;Lille;ABIBAC (allemand);;Lycée;0590086Y;Lycée Marguerite de Flandre;Gondecourt;;
84;Lille;ABIBAC (allemand);;Lycée;0590119J;Lycée Faidherbe;Lille;;
85;Lille;ABIBAC (allemand);;Lycée;0620093P;Lycée Fernand Darchicourt;Hénin-Beaumont;;
86;Lille;ABIBAC (allemand);;Lycée;0590222W;Lycée Antoine Watteau;Valenciennes;;
87;Lille;ABIBAC (allemand);;Lycée;0590064Z;Lycée Jean-Baptiste Corot;Douai;;
88;Limoges;ABIBAC (allemand);2017;Lycée;0190032G;Lycée Edmond Perrier;Tulle;;
89;Lyon;ABIBAC (allemand);;Lycée;0693446W;Cité scolaire internationale;Lyon;;
90;Lyon;ABIBAC (allemand);;Lycée;0420042T;Lycée Honoré d'Urfé;Sainte-Étienne;;
91;Lyon;ABIBAC (allemand);2020;Lycée;0690082P;Lycée Jean Perrin;Lyon;;
92;Montpellier;ABIBAC (allemand);;Lycée;0340039H;Lycée Georges Clémenceau;Montpellier;;
93;Montpellier;ABIBAC (allemand);;Lycée;0300021K;Lycée Alphonse Daudet;Nimes;;
94;Montpellier;ABIBAC (allemand);2018;Lycée;0110022P;Lycée Docteur Lacroix;Narbonne;;
95;Nancy-Metz;ABIBAC (allemand);;Lycée;0570054Z;Lycée Fabert;Metz;;
96;Nancy-Metz;ABIBAC (allemand);;Lycée;0540039Z;Lycée Jeanne d'Arc;Nancy;;
97;Nancy-Metz;ABIBAC (allemand);;Lycée;0541318P;Lycée Notre-Dame / Saint-Sigisbert;Nancy;;
98;Nancy-Metz;ABIBAC (allemand);;Lycée;0570085H;Lycée Jean-Victor Poncelet;Saint-Avold;;
99;Nancy-Metz;ABIBAC (allemand);;Lycée;0570098X;Lycée Jean de Pange;Sarreguemines;;
100;Nancy-Metz;ABIBAC (allemand);;Lycée;0570106F;Lycée Charlemagne;Thionville;;
101;Nancy-Metz;ABIBAC (allemand);2019;Lycée;0880020U;Lycée Claude Gellée;Épinal;;
102;Nantes;ABIBAC (allemand);;Lycée;0720030S;Lycée Bellevue;Le Mans;;
103;Nantes;ABIBAC (allemand);;Lycée;0490002L;Lycée Joachim du Bellay;Angers;;
104;Nantes;ABIBAC (allemand);;Lycée;0851401L;Lycée Jean De Lattre de Tassigny;La-Roche-sur-Yon;;
105;Nantes;ABIBAC (allemand);2017;Lycée;0442765s;Lycée Nelson Mandela;Nantes;;
106;Nice;ABIBAC (allemand);;Lycée;0830053G;Lycée Dumont d'Urville;Toulon;;
107;Nice;ABIBAC (allemand);;Lycée;0060031B;Lycée Albert Calmette;Nice;;
108;Orléans-Tours;ABIBAC (allemand);;Lycée;0451526P;Lycée Charles Péguy;Orléans;;
109;Orléans-Tours;ABIBAC (allemand);;Lycée;0370039S;Lycée Paul-Louis Courier;Tours;;
110;Paris;ABIBAC (allemand);;Lycée;0750699C;Lycée Janson de Sailly;Paris;;
111;Paris;ABIBAC (allemand);;Lycée;0750715V;Lycée Maurice Ravel;Paris;;
112;Poitiers;ABIBAC (allemand);;Lycée;0170028N;Lycée Jean Dautet;La Rochelle;;
113;Poitiers;ABIBAC (allemand);;Lycée;0861228T;Lycée du Bois d'Amour;Poitiers;;
114;Reims;ABIBAC (allemand);;Lycée;0510006E;Lycée Pierre Bayen;Châlons-en-Champagne;;
115;Reims;ABIBAC (allemand);;Lycée;0080027L;Lycée Gaspard Monge;Charleville-Mézières;;
116;Reims;ABIBAC (allemand);;Lycée;0510032H;Lycée Jean Jaurès;Reims;;
117;Rennes;ABIBAC (allemand);;Lycée;0350710G;Lycée Chateaubriand;Rennes;;
118;Rouen;ABIBAC (allemand);;Lycée;0760096S;Lycée Gustave Flaubert;Rouen;;
119;Strasbourg;ABIBAC (allemand);;Lycée;0680007N;Lycée Bartholdi;Colmar;;
120;Strasbourg;ABIBAC (allemand);;Lycée;0680015X;Lycée Alfred Kastler;Guebwiller;;
121;Strasbourg;ABIBAC (allemand);;Lycée;0670020H;Lycée Robert Schuman;Haguenau;;
122;Strasbourg;ABIBAC (allemand);;Lycée;0670041F;Lycée Henri Meck;Molsheim;;
123;Strasbourg;ABIBAC (allemand);;Lycée;0681761V;Lycée Jean-Henri Lambert;Mulhouse;;
124;Strasbourg;ABIBAC (allemand);;Lycée;0680066C;Lycée Jean Mermoz;Saint-Louis;;
125;Strasbourg;ABIBAC (allemand);;Lycée;0670057Y;Lycée Général Leclerc;Saverne;;
126;Strasbourg;ABIBAC (allemand);;Lycée;0670071N;Lycée Koeberlé;Sélestat;;
127;Strasbourg;ABIBAC (allemand);;Lycée;0670081Z;Lycée international des Pontonniers;Strasbourg;;
128;Strasbourg;ABIBAC (allemand);;Lycée;0670078W;Lycée Jean Monnet;Strasbourg;;
129;Strasbourg;ABIBAC (allemand);;Lycée;0671609K;Collège épiscopal Saint-Etienne;Strasbourg;;
130;Strasbourg;ABIBAC (allemand);;Lycée;0680001G;Lycée Jean-Jacques Henner;Altkrich;;
131;Strasbourg;ABIBAC (allemand);;Lycée;0672604S;Lycée Marc Bloch;Bischheim;;
132;Strasbourg;ABIBAC (allemand);;Lycée;0670114K;Lycée Stanislas;Wissembourg;;
133;Strasbourg;ABIBAC (allemand);;Lycée;0680008P;Lycée Camille Sée;Colmar;;
134;Strasbourg;ABIBAC (allemand);;Lycée;0672806L;Lycée Marcel Rudloff;Strasbourg;;
135;Strasbourg;ABIBAC (allemand);;Lycée;0680151V;Lycée Jeanne d'Arc;Mulhouse;;
136;Strasbourg;ABIBAC (allemand);2017;Lycée;0680149T;Lycée Saint-André;Colmar;;
137;Toulouse;ABIBAC (allemand);;Lycée;0312093G;Lycée International Victor Hugo;Colomiers;;
138;Toulouse;ABIBAC (allemand);;Lycée;0310041B;Lycée Saint-Sernin;Toulouse;;
139;Versailles;ABIBAC (allemand);;Lycée;0910621F;Lycée Francisque Sarcey;Dourdan;;
140;Versailles;ABIBAC (allemand);;Lycée;0952196W;Lycée Gustave Monod;Enghien-les-Bains;;
141;Versailles;ABIBAC (allemand);;Lycée;0920799U;Lycée Richelieu;Rueil-Malmaison;;
142;Aix-Marseille;BACHIBAC (espagnol);;Lycée;0130039X;Lycée Saint-Charles;Marseille;;
143;Aix-Marseille;BACHIBAC (espagnol);;Lycée;0840004Y;Lycée Théodore Aubanel;Avignon;;
144;Aix-Marseille;BACHIBAC (espagnol);;Lycée;0133406G;Lycée polyvalent de la Méditerranée;La Ciotat;;
145;Aix-Marseille;BACHIBAC (espagnol);;Lycée;0132210G;Lycée Jean Lurçat;Martigues;;
146;Aix-Marseille;BACHIBAC (espagnol);;Lycée;0130001F;Lycée Émile Zola;Aix-en-Provence;;
147;Aix-Marseille;BACHIBAC (espagnol);2016;Lycée;0040543U;École internationale Provence-Alpes-Côte d'Azur;Manosque;;
148;Amiens;BACHIBAC (espagnol);2018;Lycée;0021946E;Lycée européen;Villers-Cotterêts;;
149;Besançon;BACHIBAC (espagnol);2019;Lycée;0250033A;Lycée Le Grand Chênois;Montbéliard;;
150;Bordeaux;BACHIBAC (espagnol);;Lycée;0640065Y;Lycée Maurice Ravel;Saint-Jean-de-Luz;;
151;Bordeaux;BACHIBAC (espagnol);;Lycée;0330003Z;Lycée de Grand Air;Arcachon;;
152;Bordeaux;BACHIBAC (espagnol);;Lycée;0240024W;Lycée Bertrand de Born;Périgueux;;
153;Bordeaux;BACHIBAC (espagnol);;Lycée;0640134Y;Lycée Saint-Thomas d'Aquin;Saint-Jean-de-Luz;;
154;Bordeaux;BACHIBAC (espagnol);;Lycée;0330126H;Lycée Victor Louis;Talence;;
155;Bordeaux;BACHIBAC (espagnol);2019;Lycée;0641732K;Lycée Saint-John Perse;Pau;;
156;Caen;BACHIBAC (espagnol);;Lycée;0142107P;Lycée Charles de Gaulle;Caen;;
157;Clermont-Ferrand;BACHIBAC (espagnol);;Lycée;0630019D;Lycée Jeanne d'Arc;Clermont-Ferrand;;
158;Créteil;BACHIBAC (espagnol);2016;Lycée;0940116R;Lycée Delacroix;Maisons-Alfort;;
159;Dijon;BACHIBAC (espagnol);;Lycée;0710011B;Lycée Pontus de Tyard Chalon-sur-Saône;Châlon-sur-Saône;;
160;Dijon;BACHIBAC (espagnol);;Lycée;0210017E;Lycée régional Montchapet;Dijon;;
161;Guadeloupe;BACHIBAC (espagnol);;Lycée;9710002A;Lycée Gerville-Réache;Basse-Terre;;
162;Lille;BACHIBAC (espagnol);;Lycée;0590086Y;Lycée Marguerite de Flandre;Gondecourt;;
163;Lille;BACHIBAC (espagnol);;Lycée;0590212K;Lycée Léon Gambetta;Tourcoing;;
164;Lille;BACHIBAC (espagnol);;Lycée;0595867G;Lycée international Montebello;Lille;;
165;Lille;BACHIBAC (espagnol);;Lycée;0620040G;Lycée Louis Blaringhem Béthune;Béthune;;
166;Lille;BACHIBAC (espagnol);;Lycée;0620093P;Lycée Fernand Darchicourt;Hénin-Beaumont;;
167;Lille;BACHIBAC (espagnol);;Lycée;0590282L;Lycée Jules Mousseron;Denain;;
168;Limoges;BACHIBAC (espagnol);2019;Lycée;0190011J;Lycée d'Arsonval;Brive-la-Gaillarde;;
169;Lyon;BACHIBAC (espagnol);;Lycée;0690082P;Lycée Jean Perrin;Lyon;;
170;Lyon;BACHIBAC (espagnol);;Lycée;0010014K;Lycée Edgar Quinet;Bourg-en-Bresse;;
171;Lyon;BACHIBAC (espagnol);2016;Lycée;0690097F;Lycée Claude Bernard;Villefranche-sur-Saône;;
172;Lyon;BACHIBAC (espagnol);2018;Lycée;0421677V;Lycée Claude Fauriel;Saint-Étienne;;
173;Montpellier;BACHIBAC (espagnol);;Lycée;0340040J;Lycée Jules Guesde;Montpellier;;
174;Montpellier;BACHIBAC (espagnol);;Lycée;0300023M;Lycée Albert Camus;Nimes;;
175;Montpellier;BACHIBAC (espagnol);;Lycée;0660010C;Lycée François Arago;Perpignan;;
176;Montpellier;BACHIBAC (espagnol);;Lycée;0301778V;Lycée Jacques Prévert;Saint-Christol-lès-Alès;;
177;Nancy-Metz;BACHIBAC (espagnol);;Lycée;0540039Z;Lycée Jeanne d'Arc;Nancy;;
178;Nantes;BACHIBAC (espagnol);;Lycée;0720030S;Lycée Bellevue;Le Mans;;
179;Nantes;BACHIBAC (espagnol);;Lycée;0850025R;Lycée Pierre Mendès France;La-Roche-sur Yon;;
180;Nantes;BACHIBAC (espagnol);Dernière session 2017;Lycée;0440022K;Lycée Jules Verne;Nantes;;
181;Nantes;BACHIBAC (espagnol);;Lycée;0530010Y;Lycée Ambroise Paré;Laval;;
182;Nantes;BACHIBAC (espagnol);2016;Lycée;0490003M;Lycée Chevrollier;Angers;;
