;ACADÉMIE;SECTION BI- ET INTERNATIONALE;1ère SESSION A VENIR;Niveau;U.A.I.;ÉTABLISSEMENT;COMMUNE;;
258;CRÉTEIL ;ARABE ;2019 ;Lycée;0932638m ;Lycée international de l'Est parisien ;NOISY-LE-GRAND ;;
259;CRÉTEIL ;BRITANNIQUE;;Lycée;0932047V ;Lycée Evariste Galois ;NOISY-LE-GRAND ;;
260;CRÉTEIL ;BRITANNIQUE;;Ecole;0770381W ;Ecole Léonard de Vinci ;FONTAINEBLEAU ;;
261;CRÉTEIL ;BRITANNIQUE;;Collège;0770928R ;Collège international ;FONTAINEBLEAU ;;
262;CRÉTEIL ;BRITANNIQUE;;Lycée;0770927P ;Lycée François 1er ;FONTAINEBLEAU ;;
263;CRÉTEIL ;BRITANNIQUE;;Collège;0941091A ;Collège Watteau ;NOGENT-SUR-MARNE ;;
264;CRÉTEIL ;BRITANNIQUE;;Collège;0941599C ;Collège Edouard Branly ;NOGENT-SUR-MARNE ;;
265;CRÉTEIL ;BRITANNIQUE;;Lycée;0940117S ;Lycée Edouard Branly ;NOGENT-SUR-MARNE ;;
266;CRÉTEIL ;BRÉSILIENNE;2016 ;Collège;0932581A ;Collège de Noisy-le-Grand ;NOISY-LE-GRAND ;;
267;CRÉTEIL ;BRÉSILIENNE;2019 ;Lycée;0932638m ;Lycée international de l'Est parisien ;NOISY-LE-GRAND ;;
268;CRÉTEIL ;CHINOISE;;Collège;0931978V ;Collège Victor Hugo ;NOISY-LE-GRAND ;;
269;CRÉTEIL ;CHINOISE;2016 ;Collège;0932581A ;Collège de Noisy-le-Grand ;NOISY-LE-GRAND ;;
270;CRÉTEIL ;CHINOISE;;Lycée;0931565W ;Lycée Flora Tristan ;NOISY-LE-GRAND ;;
271;CRÉTEIL ;CHINOISE;2019 ;Lycée;0932638m ;Lycée international de l'Est parisien ;NOISY-LE-GRAND ;;
272;DIJON ;BRITANNIQUE;2018 ;Collège;0211389W ;Collège du Clos de Pouilly ;DIJON ;;
273;DIJON ;BRITANNIQUE;;Lycée;0211928G ;Lycée international Charles de Gaulle ;DIJON ;;
274;GRENOBLE ;ALLEMANDE;;Ecole;0382911H ;Ecole primaire de la Houille Blanche ;GRENOBLE ;;
275;GRENOBLE ;ALLEMANDE;;Collège;0383243U ;Collège international Europole ;GRENOBLE ;;
276;GRENOBLE ;ALLEMANDE;2017 ;Lycée;0383242T ;Lycée international Europole ;GRENOBLE ;;
277;GRENOBLE ;AMÉRICAINE;;Collège;0381658W ;Collège Saint-Michel ;BOURGOIN-JALLIEU ;;
278;GRENOBLE ;AMÉRICAINE;;Lycée;0383072H ;Lycée Saint-Marc ;NIVOLAS-VERMELLE ;;
279;GRENOBLE ;AMÉRICAINE;2018 ;Lycée;0381603L ;Lycée Argouges ;GRENOBLE ;;
280;GRENOBLE ;ARABE ;;Ecole;0380114T ;Ecole Menon ;GRENOBLE ;;
281;GRENOBLE ;ARABE ;;Collège;0383243U ;Collège international Europole ;GRENOBLE ;;
282;GRENOBLE ;ARABE ;;Lycée;0383242T ;Lycée international Europole ;GRENOBLE ;;
283;GRENOBLE ;BRITANNIQUE;;Ecole;0382911H ;Ecole primaire de la Houille Blanche ;GRENOBLE ;;
284;GRENOBLE ;BRITANNIQUE;;Ecole;0382874T ;Ecole Jules Ferry ;GRENOBLE ;;
285;GRENOBLE ;BRITANNIQUE;;Ecole;0382534Y ;Ecole Les Trembles ;GRENOBLE ;;
286;GRENOBLE ;BRITANNIQUE;;Collège;0383243U ;Collège international Europole ;GRENOBLE ;;
287;GRENOBLE ;BRITANNIQUE;;Lycée;0383242T ;Lycée international Europole ;GRENOBLE ;;
288;GRENOBLE ;BRITANNIQUE;;Collège;0731441V ;Collège George Sand ;LA MOTTE-SERVOLEX ;;
289;GRENOBLE ;BRITANNIQUE;;Lycée;0730013T ;Lycée Vaugelas ;CHAMBÉRY ;;
290;GRENOBLE ;ESPAGNOLE;;Ecole;0382286D ;Ecole Bizanet ;GRENOBLE ;;
291;GRENOBLE ;ESPAGNOLE;;Collège;0383243U ;Collège international Europole ;GRENOBLE ;;
292;GRENOBLE ;ESPAGNOLE;;Lycée;0383242T ;Lycée international Europole ;GRENOBLE ;;
293;GRENOBLE ;ITALIENNE;;Ecole;0380563F ;Ecole Jean Jaurès ;GRENOBLE ;;
294;GRENOBLE ;ITALIENNE;;Collège;0383243U ;Collège international Europole ;GRENOBLE ;;
295;GRENOBLE ;ITALIENNE;;Lycée;0383242T ;Lycée international Europole ;GRENOBLE ;;
296;GRENOBLE ;PORTUGAISE;;Ecole;0380607D ;Ecole Anthoard ;GRENOBLE ;;
297;GRENOBLE ;PORTUGAISE;;Collège;0383243U ;Collège international Europole ;GRENOBLE ;;
298;GRENOBLE ;PORTUGAISE;;Lycée;0383242T ;Lycée international Europole ;GRENOBLE ;;
299;GUADELOUPE ;BRITANNIQUE;;Collège;9710036M ;Collège Rémy Nainsouta ;SAINT-CLAUDE ;;
300;GUADELOUPE ;BRITANNIQUE;2016 ;Lycée;9710002A ;Lycée Gerville-Réache ;BASSE-TERRE ;;
301;GUADELOUPE ;ESPAGNOLE;;Collège;9710707S ;Collège Les Roches Gravées ;TROIS-RIVIÈRES ;;
302;GUYANE ;AMÉRICAINE;2016 ;Lycée;9730309Y ;Lycée Melkior-Garré ;CAYENNE ;;
303;GUYANE ;BRÉSILIENNE;;Lycée;9730309Y ;Lycée Melkior-Garré ;CAYENNE ;;
304;GUYANE ;NÉERLANDAISE;;Ecole;9730320K ;Ecole des Sables blancs ;SAINT-LAURENT-DU-MARONI ;;
305;GUYANE ;PORTUGAISE;;Ecole;9730161M ;Ecole Sulny ;SAINT-GEORGES-DE-L'OYAPOCK ;;
306;GUYANE ;PORTUGAISE;;Ecole;9730030V ;Ecole Pascal Joinville ;SAINT-GEORGES-DE-L'OYAPOCK ;;
307;LA RÉUNION ;CHINOISE;;Ecole;9740134C ;Ecole Joinville ;SAINT-DENIS DE LA RÉUNION ;;
308;LA RÉUNION ;CHINOISE;;Ecole;9740745S ;Ecole Les Badamiers ;SAINT-DENIS DE LA RÉUNION ;;
309;LA RÉUNION ;CHINOISE;;Collège;9740081V ;Collège Juliette Dodu ;SAINT-DENIS DE LA RÉUNION ;;
310;LA RÉUNION ;CHINOISE;;Lycée;9740001H ;Lycée Leconte de Lisle ;SAINT-DENIS DE LA RÉUNION ;;
311;LILLE ;AMÉRICAINE;;Lycée;0596122J ;Ecole Jeannine Manuel ;MARCQ-EN-BARŒUL ;;
312;LILLE ;ARABE ;2019 ;Collège;0593180L ;Collège Antoine de Saint-Exupéry ;LILLE ;;
313;LILLE ;ARABE ;2019 ;Lycée;0590119J ;Lycée Faidherbe ;LILLE ;;
314;LILLE ;BRITANNIQUE;;Ecole;0591562C ;Ecole Sophie Germain ;LILLE ;;
315;LILLE ;BRITANNIQUE;;Collège;0593168Y ;Collège Carnot ;LILLE ;;
316;LILLE ;BRITANNIQUE;;Lycée;0595867G ;Lycée international Montebello ;LILLE ;;
317;LILLE ;BRITANNIQUE;;Collège;0592715F ;Collège Charles Eisen ;VALENCIENNES ;;
318;LILLE ;BRITANNIQUE;;Lycée;0590221V ;Lycée Henri Wallon ;VALENCIENNES ;;
319;LILLE ;BRITANNIQUE;;Collège;0620199E ;Collège Pierre Daunou ;BOULOGNE-SUR-MER ;;
320;LILLE ;BRITANNIQUE;2016 ;Lycée;0622949U ;Lycée Mariette ;BOULOGNE-SUR-MER ;;
321;LIMOGES ;BRITANNIQUE;;Lycée;0870017W ;Lycée Renoir ;LIMOGES ;;
322;LYON ;ALLEMANDE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
323;LYON ;ALLEMANDE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
324;LYON ;ALLEMANDE;;Collège;0010896U ;Collège international ;FERNEY-VOLTAIRE ;;
325;LYON ;ALLEMANDE;;Lycée;0010072Y ;Lycée international ;FERNEY-VOLTAIRE ;;
326;LYON ;AMÉRICAINE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
327;LYON ;AMÉRICAINE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
328;LYON ;AMÉRICAINE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
329;LYON ;ARABE ;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
330;LYON ;ARABE ;2018 ;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
331;LYON ;BRITANNIQUE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
332;LYON ;BRITANNIQUE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
333;LYON ;BRITANNIQUE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
334;LYON ;BRITANNIQUE;;Collège;0010896U ;Collège international ;FERNEY-VOLTAIRE ;;
335;LYON ;BRITANNIQUE;;Lycée;0010072Y ;Lycée international ;FERNEY-VOLTAIRE ;;
336;LYON ;CHINOISE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
337;LYON ;CHINOISE;2017 ;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
338;LYON ;ESPAGNOLE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
339;LYON ;ESPAGNOLE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
340;LYON ;ESPAGNOLE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
341;LYON ;ESPAGNOLE;;Collège;0010896U ;Collège international ;FERNEY-VOLTAIRE ;;
342;LYON ;ESPAGNOLE;;Lycée;0010072Y ;Lycée international ;FERNEY-VOLTAIRE ;;
343;LYON ;ITALIENNE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
344;LYON ;ITALIENNE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
345;LYON ;ITALIENNE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
346;LYON ;ITALIENNE;;Collège;0010896U ;Collège international ;FERNEY-VOLTAIRE ;;
347;LYON ;ITALIENNE;;Lycée;0010072Y ;Lycée international ;FERNEY-VOLTAIRE ;;
348;LYON ;JAPONAISE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
349;LYON ;JAPONAISE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
350;LYON ;JAPONAISE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
351;LYON ;NÉERLANDAISE;;Collège;0010896U ;Collège international ;FERNEY-VOLTAIRE ;;
352;LYON ;NÉERLANDAISE;;Lycée;0010072Y ;Lycée international ;FERNEY-VOLTAIRE ;;
353;LYON ;POLONAISE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
354;LYON ;POLONAISE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
355;LYON ;POLONAISE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
356;LYON ;PORTUGAISE;;Ecole;0693318G ;Ecole de la Cité scolaire internationale ;LYON ;;
357;LYON ;PORTUGAISE;;Collège;0692694D ;Collège de la Cité scolaire internationale ;LYON ;;
358;LYON ;PORTUGAISE;;Lycée;0693446W ;Lycée de la Cité scolaire internationale ;LYON ;;
359;LYON ;SUÉDOISE;;Collège;0010896U ;Collège international ;FERNEY-VOLTAIRE ;;
360;LYON ;SUÉDOISE;;Lycée;0010072Y ;Lycée international ;FERNEY-VOLTAIRE ;;
361;MONTPELLIER ;ALLEMANDE;;Ecole;0341678P ;Ecole Charles Dickens-Anne Frank ;MONTPELLIER ;;
362;MONTPELLIER ;ALLEMANDE;;Collège;0341277D ;Collège des Aiguerelles ;MONTPELLIER ;;
363;MONTPELLIER ;AMÉRICAINE;;Ecole;0340519E ;Ecole élémentaire Jean Sibelius Pottier ;MONTPELLIER ;;
364;MONTPELLIER ;AMÉRICAINE;;Collège;0341030K ;Collège Camille Claudel ;MONTPELLIER ;;
365;MONTPELLIER ;AMÉRICAINE;;Lycée;0340040J ;Lycée international Jules Guesde ;MONTPELLIER ;;
366;MONTPELLIER ;ARABE ;;Collège;0341276C ;Collège Louis Germain ;SAINT-JEAN-DE-VÉDAS ;;
367;MONTPELLIER ;ARABE ;2019 ;Lycée;0340040J ;Lycée international Jules Guesde ;MONTPELLIER ;;
368;MONTPELLIER ;CHINOISE;;Ecole;0342315G ;Ecole Chengdu ;MONTPELLIER ;;
369;MONTPELLIER ;CHINOISE;;Ecole;0340515A ;Ecole Sun Yat Sen ;MONTPELLIER ;;
370;MONTPELLIER ;CHINOISE;;Collège;0340051W ;Collège Fontcarrade ;MONTPELLIER ;;
371;MONTPELLIER ;CHINOISE;;Ecole;0342228M ;Ecole François Rabelais ;MONTPELLIER ;;
372;MONTPELLIER ;CHINOISE;;Collège;0342131G ;Collège François Rabelais ;MONTPELLIER ;;
373;MONTPELLIER ;CHINOISE;2018 ;Lycée;0340040J ;Lycée international Jules Guesde ;MONTPELLIER ;;
374;MONTPELLIER ;ESPAGNOLE;;Collège;0341421K ;Collège Joffre ;MONTPELLIER ;;
375;MONTPELLIER ;ESPAGNOLE;;Lycée;0340038G ;Lycée Joffre ;MONTPELLIER ;;
376;NANCY-METZ ;ALLEMANDE;;Collège;0572930A ;Collège de l'Institution Sainte-Chrétienne ;SARREGUEMINES ;;
377;NANCY-METZ ;AMÉRICAINE;2017 ;Collège;0541995A ;Collège de l'ensemble scolaire Notre-Dame-Saint-Sigisbert ;NANCY ;;
378;NANCY-METZ ;AMÉRICAINE;;Lycée;0541318P ;Lycée de l'ensemble scolaire Notre-Dame-Saint-Sigisbert ;NANCY ;;
379;NANCY-METZ ;BRITANNIQUE;;Lycée;0540039Z ;Lycée Jeanne d'Arc ;NANCY ;;
380;NANTES ;ALLEMANDE;;Collège;0440049P ;Collège Aristide Briand ;NANTES ;;
381;NANTES ;BRITANNIQUE;;Collège;0440049P ;Collège Aristide Briand ;NANTES ;;
382;NANTES ;AMÉRICAINE;2017 ;Lycée;0442765S ;Lycée Nelson Mandela ;NANTES ;;
383;NANTES ;BRITANNIQUE;;Collège;0441822S ;Collège de la Cité scolaire Grand Air ;LA BAULE ;;
384;NANTES ;BRITANNIQUE;;Lycée;0440012Z ;Lycée de la Cité scolaire Grand Air ;LA BAULE ;;
385;NICE ;ALLEMANDE;;Ecole;0061556J ;Ecole des Sartoux ;VALBONNE ;;
386;NICE ;ALLEMANDE;;Collège;0062011D ;Collège international ;VALBONNE ;;
387;NICE ;ALLEMANDE;;Lycée;0061642C ;Lycée international ;VALBONNE ;;
388;NICE ;AMÉRICAINE;2016 ;Collège;0062056C ;Collège César ;ROQUEFORT-LES-PINS ;;
389;NICE ;AMÉRICAINE;;Lycée;0061642C ;Lycée international ;VALBONNE ;;
390;NICE ;ARABE ;;Ecole;0060335G ;Ecole Auber ;NICE ;;
391;NICE ;ARABE ;2017 ;Collège;0060085K ;Collège international Joseph Vernier ;NICE ;;
392;NICE ;BRITANNIQUE;;Ecole;0062024T ;Ecole des trois collines ;MOUGINS ;;
393;NICE ;BRITANNIQUE;;Ecole;0061556J ;Ecole des Sartoux ;VALBONNE ;;
394;NICE ;BRITANNIQUE;;Collège;0061925K ;Collège Niki de Saint Phalle ;VALBONNE ;;
395;NICE ;BRITANNIQUE;;Collège;0062011D ;Collège international ;VALBONNE ;;
396;NICE ;BRITANNIQUE;;Collège;0061670H ;Collège de l'Eganaude ;BIOT ;;
397;NICE ;BRITANNIQUE;;Collège;0061459D ;Collège de l'Institut Fénelon ;GRASSE ;;
398;NICE ;BRITANNIQUE;;Lycée;0060674A ;Lycée de l'Institut Fénelon ;GRASSE ;;
399;NICE ;CHINOISE;;Ecole;0060392U ;Ecole Roméo 2 ;NICE ;;
400;NICE ;CHINOISE;2017 ;Collège;0062011D ;Collège international ;VALBONNE ;;
401;NICE ;ESPAGNOLE;;Collège;0062011D ;Collège international ;VALBONNE ;;
402;NICE ;ESPAGNOLE;;Lycée;0061642C ;Lycée international ;VALBONNE ;;
403;NICE ;ITALIENNE;;Ecole;0061590W ;Ecole de Garbejaire ;VALBONNE ;;
404;NICE ;ITALIENNE;;Collège;0062011D ;Collège international ;VALBONNE ;;
405;NICE ;ITALIENNE;;Collège;0061925K ;Collège Niki de Saint Phalle ;VALBONNE ;;
406;NICE ;ITALIENNE;;Collège;0061670H ;Collège de l'Éganaude ;BIOT ;;
407;NICE ;ITALIENNE;;Lycée;0061642C ;Lycée international ;VALBONNE ;;
408;NICE ;ITALIENNE;;Ecole;0060391T ;Ecole Roméo 1 ;NICE ;;
409;NICE ;ITALIENNE;2017 ;Collège;0060085K ;Collège international Joseph Vernier ;NICE ;;
410;NICE ;PORTUGAISE;;Ecole;0060335G ;Ecole Auber ;NICE ;;
411;NICE ;PORTUGAISE;2017 ;Collège;0060085K ;Collège international Joseph Vernier ;NICE ;;
412;NICE ;RUSSE;;Ecole;0060367S ;Ecole Ronchèse ;NICE ;;
413;NICE ;RUSSE;2017 ;Collège;0060085K ;Collège international Joseph Vernier ;NICE ;;
414;NICE ;RUSSE;;Lycée;0061642C ;Lycée international ;VALBONNE ;;
415;ORLÉANS-TOURS ;BRITANNIQUE;;Ecole;0450285R ;Ecole Guillaume Apollinaire ;ORLÉANS ;;
416;ORLÉANS-TOURS ;BRITANNIQUE;;Collège;0450053N ;Collège Dunois ;ORLÉANS ;;
417;ORLÉANS-TOURS ;BRITANNIQUE;;Lycée;0450050K ;Lycée Jean Zay ;ORLÉANS ;;
418;PARIS ;ALLEMANDE;;Ecole;0752645T ;Ecole élémentaire Lafayette ;PARIS ;;
419;PARIS ;ALLEMANDE;;Collège;0752553T ;Collège international Honoré de Balzac ;PARIS ;;
420;PARIS ;ALLEMANDE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;PARIS ;;
421;PARIS ;AMÉRICAINE;;Ecole;0750206S ;Ecole Jeannine Manuel ;PARIS ;;
422;PARIS ;AMÉRICAINE;;Collège;0752935H ;Ecole Jeannine Manuel ;PARIS ;;
423;PARIS ;AMÉRICAINE;;Lycée;0753874D ;Ecole Jeannine Manuel ;PARIS ;;
424;PARIS ;ARABE ;;Ecole;0752642P ;Ecole élémentaire d'application du Bd Bessières ;PARIS ;;
425;PARIS ;ARABE ;;Collège;0752553T ;Collège international Honoré de Balzac ;PARIS ;;
426;PARIS ;ARABE ;;Lycée;0750705J ;Lycée international Honoré de Balzac ;PARIS ;;
427;PARIS ;ARABE ;2019 ;Collège;0752539C ;Collège Claude Monet ;PARIS ;;
428;PARIS ;BRITANNIQUE;;Lycée;0752937K ;Ecole active bilingue Etoile ;PARIS ;;
429;PARIS ;BRITANNIQUE;;Collège;0752553T ;Collège international Honoré de Balzac ;PARIS ;;
430;PARIS ;BRITANNIQUE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;PARIS ;;
431;PARIS ;BRITANNIQUE;;Collège;0752546K ;Collège Camille Sée ;PARIS ;;
432;PARIS ;BRITANNIQUE;2017 ;Lycée;0750694X ;Lycée Camille Sée ;PARIS ;;
433;PARIS ;BRITANNIQUE;2018 ;Collège;0752557X ;Collège Maurice Ravel ;PARIS ;;
434;PARIS ;CHINOISE;;Ecole;0750874T ;Groupe scolaire Ivry-Levassor ;PARIS ;;
435;PARIS ;CHINOISE;;Collège;0750684L ;Collège Gabriel Fauré ;PARIS ;;
436;PARIS ;CHINOISE;;Lycée;0750683K ;Lycée Claude Monet ;PARIS ;;
437;PARIS ;CHINOISE;;Ecole;0751144L ;Ecole élémentaire Longchamp ;PARIS ;;
438;PARIS ;CHINOISE;;Collège;0752548M ;Collège Janson de Sailly ;PARIS ;;
439;PARIS ;CHINOISE;2017 ;Lycée;0750699C ;Lycée Janson de Sailly ;PARIS ;;
440;PARIS ;CHINOISE;2019 ;Collège;0752555V ;Collège Bergson ;PARIS ;;
441;PARIS ;ESPAGNOLE;;Collège;0752553T ;Collège international Honoré de Balzac ;PARIS ;;
442;PARIS ;ESPAGNOLE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;PARIS ;;
443;PARIS ;ITALIENNE;;Ecole;0751234J ;Ecole Vicq D'Azir ;PARIS ;;
444;PARIS ;ITALIENNE;;Collège;0752553T ;Collège international Honoré de Balzac ;PARIS ;;
445;PARIS ;ITALIENNE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;PARIS ;;
446;PARIS ;JAPONAISE;;Collège;0752550P ;Collège Jean de La Fontaine ;PARIS ;;
447;PARIS ;JAPONAISE;;Lycée;0750702F ;Lycée Jean de La Fontaine ;PARIS ;;
448;PARIS ;POLONAISE;;Collège;0752527P ;Collège Montaigne ;PARIS ;;
449;PARIS ;POLONAISE;;Lycée;0750657G ;Lycée Montaigne ;PARIS ;;
450;PARIS ;PORTUGAISE;;Collège;0752553T ;Collège international Honoré de Balzac ;PARIS ;;
451;PARIS ;PORTUGAISE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;PARIS ;;
452;PARIS ;PORTUGAISE;;Collège;0752527P ;Collège Montaigne ;PARIS ;;
453;PARIS ;PORTUGAISE;;Lycée;0750657G ;Lycée Montaigne ;PARIS ;;
454;POITIERS ;CHINOISE;;Lycée;0861223M ;Lycée pilote innovant international ;JAUNAY-CLAN ;;
455;REIMS ;ALLEMANDE;;Ecole;0510631J ;Ecole élémentaire Jules Ferry ;CHÂLONS-EN-CHAMPAGNE ;;
456;REIMS ;ALLEMANDE;;Collège;0510011K ;Collège Perrot d'Ablancourt ;CHÂLONS-EN-CHAMPAGNE ;;
457;REIMS ;BRITANNIQUE;;Ecole;0512049A ;Ecole élémentaire Europe-Adriatique ;REIMS ;;
458;REIMS ;BRITANNIQUE;;Collège;0511085C ;Collège Robert Schuman ;REIMS ;;
459;REIMS ;BRITANNIQUE;;Lycée;0511926S ;Lycée Marc Chagall ;REIMS ;;
460;RENNES ;AMÉRICAINE;;Ecole;0351502T ;Ecole Saint-Vincent-Providence ;RENNES ;;
461;RENNES ;AMÉRICAINE;;Collège;0352069J ;Collège Saint-Vincent-Providence ;RENNES ;;
462;RENNES ;AMÉRICAINE;;Lycée;0350776D ;Lycée Saint-Vincent-Providence ;RENNES ;;
463;RENNES ;BRITANNIQUE;;Ecole;0350667K ;Ecole Jean Moulin ;RENNES ;;
464;RENNES ;BRITANNIQUE;;Collège;0350895H ;Collège Rosa Parks ;RENNES ;;
465;RENNES ;BRITANNIQUE;;Lycée;0352009U ;Lycée Victor et Hélène Basch ;RENNES ;;
466;RENNES ;BRITANNIQUE;;Collège;0291868Y ;Collège Sainte-Anne ;BREST ;;
467;RENNES ;BRITANNIQUE;;Lycée;0290338K ;Lycée Sainte-Anne ;BREST ;;
468;RENNES ;CHINOISE;;Ecole;0350635A ;Ecole de la Poterie ;RENNES ;;
469;RENNES ;CHINOISE;;Collège;0351796M ;Collège Emile Zola ;RENNES ;;
470;RENNES ;CHINOISE;2018 ;Lycée;0350024L ;Lycée Emile Zola ;RENNES ;;
471;RENNES ;ESPAGNOLE;;Collège;0291824A ;Collège Les Quatre Moulins ;BREST ;;
472;RENNES ;ESPAGNOLE;;Lycée;0290008B ;Lycée Amiral Ronarc'h ;BREST ;;
473;ROUEN ;BRITANNIQUE;;Collège;0762564Z ;Collège de l'Institution Saint-Joseph ;LE HAVRE ;;
474;ROUEN ;BRITANNIQUE;;Lycée;0761710W ;Lycée de l'Institution Saint-Joseph ;LE HAVRE ;;
475;ROUEN ;BRITANNIQUE;;Lycée;0760096S ;Lycée Gustave Flaubert ;ROUEN ;;
476;STRASBOURG ;ALLEMANDE;;Ecole;0672269C ;Ecole primaire internationale Robert Schuman ;STRASBOURG ;;
477;STRASBOURG ;ALLEMANDE;;Collège;0671915T ;Collège international de l'Esplanade ;STRASBOURG ;;
478;STRASBOURG ;ALLEMANDE;;Ecole;0672461L ;Ecole du Conseil des XV ;STRASBOURG ;;
479;STRASBOURG ;ALLEMANDE;2019 ;Collège;0671909L ;Collège Vauban ;STRASBOURG ;;
480;STRASBOURG ;ALLEMANDE;;Lycée;0670081Z ;Lycée des Pontonniers ;STRASBOURG ;;
481;STRASBOURG ;BRITANNIQUE;;Ecole;0672269C ;Ecole primaire internationale Robert Schuman ;STRASBOURG ;;
482;STRASBOURG ;BRITANNIQUE;;Collège;0671915T ;Collège international de l'Esplanade ;STRASBOURG ;;
483;STRASBOURG ;BRITANNIQUE;;Ecole;0672461L ;Ecole du Conseil des XV ;STRASBOURG ;;
484;STRASBOURG ;BRITANNIQUE;2019 ;Collège;0671909L ;Collège Vauban ;STRASBOURG ;;
485;STRASBOURG ;BRITANNIQUE;;Lycée;0670081Z ;Lycée des Pontonniers ;STRASBOURG ;;
486;STRASBOURG ;ESPAGNOLE;;Ecole;0672269C ;Ecole primaire internationale Robert Schuman ;STRASBOURG ;;
487;STRASBOURG ;ESPAGNOLE;;Collège;0671915T ;Collège international de l'Esplanade ;STRASBOURG ;;
488;STRASBOURG ;ESPAGNOLE;;Lycée;0670081Z ;Lycée des Pontonniers ;STRASBOURG ;;
489;STRASBOURG ;ITALIENNE;;Ecole;0672269C ;Ecole primaire internationale Robert Schuman ;STRASBOURG ;;
490;STRASBOURG ;ITALIENNE;;Collège;0671915T ;Collège international de l'Esplanade ;STRASBOURG ;;
491;STRASBOURG ;ITALIENNE;;Lycée;0670081Z ;Lycée des Pontonniers ;STRASBOURG ;;
492;STRASBOURG ;POLONAISE;;Ecole;0672461L ;Ecole du Conseil des XV ;STRASBOURG ;;
493;STRASBOURG ;POLONAISE;2019 ;Collège;0671909L ;Collège Vauban ;STRASBOURG ;;
494;STRASBOURG ;POLONAISE;;Collège;0671915T ;Collège international de l'Esplanade ;STRASBOURG ;;
495;STRASBOURG ;POLONAISE;;Lycée;0670081Z ;Lycée des Pontonniers ;STRASBOURG ;;
496;STRASBOURG ;RUSSE;;Lycée;0670081Z ;Lycée des Pontonniers ;STRASBOURG ;;
497;TOULOUSE ;BRITANNIQUE;;Ecole;0312077P ;Ecole Michelet ;TOULOUSE ;;
498;TOULOUSE ;BRITANNIQUE;;Collège;0312092F ;Collège Victor Hugo ;COLOMIERS ;;
499;TOULOUSE ;BRITANNIQUE;;Lycée;0312093G ;Lycée Victor Hugo ;COLOMIERS ;;
500;TOULOUSE ;ESPAGNOLE;;Ecole;0312077P ;Ecole Michelet ;TOULOUSE ;;
501;TOULOUSE ;ESPAGNOLE;;Collège;0311631E ;Collège Michelet ;TOULOUSE ;;
502;TOULOUSE ;ESPAGNOLE;;Lycée;0310041B ;Lycée Saint-Sernin ;TOULOUSE ;;
503;VERSAILLES ;ALLEMANDE;;Ecole;0781145W ;Ecole Charles Bouvard ;FOURQUEUX ;;
504;VERSAILLES ;ALLEMANDE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
505;VERSAILLES ;ALLEMANDE;;Collège;0780714C ;Collège des Hauts Grillets ;SAINT-GERMAIN-EN-LAYE ;;
506;VERSAILLES ;ALLEMANDE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
507;VERSAILLES ;ALLEMANDE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
508;VERSAILLES ;ALLEMANDE;;Ecole;0921607X ;Ecole Croix-Bosset ;SÈVRES ;;
509;VERSAILLES ;ALLEMANDE;;Collège;0921607X ;Collège de Sèvres ;SÈVRES ;;
510;VERSAILLES ;ALLEMANDE;;Lycée;0920802X ;Lycée Jean-Pierre Vernant ;SÈVRES ;;
